"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-05T04:04:05.351Z","Amsterdam","AMS","Luxembourg","LUX","2024-09-05T09:15:00.000Z","05/09/2024, 11:15:00",4,"CV2613"
"2024-09-05T04:04:05.352Z","Amsterdam","AMS","Boston","BOS","2024-09-05T09:20:00.000Z","05/09/2024, 11:20:00",4,"B632"
"2024-09-05T04:04:05.353Z","Amsterdam","AMS","Singapore","SIN","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"SQ323"
"2024-09-05T04:04:05.354Z","Amsterdam","AMS","Milan","MXP","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"U27689"
"2024-09-05T04:04:05.354Z","Amsterdam","AMS","Chicago","ORD","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"UA908"
"2024-09-05T04:04:05.359Z","Amsterdam","AMS","Philadelphia","PHL","2024-09-05T08:55:00.000Z","05/09/2024, 10:55:00",4,"AA203"
"2024-09-05T04:04:05.359Z","Amsterdam","AMS","Liverpool","LPL","2024-09-05T07:10:00.000Z","05/09/2024, 09:10:00",4,"U23442"
"2024-09-05T04:04:05.356Z","Amsterdam","AMS","Stockholm","ARN","2024-09-05T08:55:00.000Z","05/09/2024, 10:55:00",4,"KL1219"
"2024-09-05T04:04:05.358Z","Amsterdam","AMS","London","LGW","2024-09-05T08:55:00.000Z","05/09/2024, 10:55:00",4,"A02541"
"2024-09-05T04:04:05.355Z","Amsterdam","AMS","Dusseldorf","DUS","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"KL1799"
"2024-09-05T04:04:05.360Z","Amsterdam","AMS","Stockholm","ARN","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"SK556"
"2024-09-05T04:04:05.355Z","Amsterdam","AMS","London","STN","2024-09-05T09:10:00.000Z","05/09/2024, 11:10:00",4,"U27839"
"2024-09-05T04:04:05.358Z","Amsterdam","AMS","London","LGW","2024-09-05T06:50:00.000Z","05/09/2024, 08:50:00",4,"U28673"
"2024-09-05T04:04:21.210Z","Amsterdam","AMS","London","LHR","2024-09-05T09:40:00.000Z","05/09/2024, 11:40:00",4,"BA431"
"2024-09-05T04:04:21.211Z","Amsterdam","AMS","Bucharest","OTP","2024-09-05T09:40:00.000Z","05/09/2024, 11:40:00",4,"RO362"
"2024-09-05T04:04:21.212Z","Amsterdam","AMS","Atyrau","GUW","2024-09-05T09:35:00.000Z","05/09/2024, 11:35:00",4,"KC904"
"2024-09-05T04:04:21.213Z","Amsterdam","AMS","Bristol","BRS","2024-09-05T08:30:00.000Z","05/09/2024, 10:30:00",4,"U22928"
"2024-09-05T04:04:21.213Z","Amsterdam","AMS","Paris","CDG","2024-09-05T09:35:00.000Z","05/09/2024, 11:35:00",4,"AF1445"
"2024-09-05T04:04:21.214Z","Amsterdam","AMS","Palma de Mallorca","PMI","2024-09-05T09:25:00.000Z","05/09/2024, 11:25:00",4,"U27881"
"2024-09-05T04:04:21.216Z","Amsterdam","AMS","London","LCY","2024-09-05T09:25:00.000Z","05/09/2024, 11:25:00",4,"CJ8452"
"2024-09-05T04:04:21.218Z","Amsterdam","AMS","Frankfurt am Main","FRA","2024-09-05T09:30:00.000Z","05/09/2024, 11:30:00",4,"LH989"
"2024-09-05T04:04:21.215Z","Amsterdam","AMS","Houston","IAH","2024-09-05T09:15:00.000Z","05/09/2024, 11:15:00",4,"UA21"
"2024-09-05T04:04:21.215Z","Amsterdam","AMS","Bologna","BLQ","2024-09-05T09:30:00.000Z","05/09/2024, 11:30:00",4,"KL1663"
"2024-09-05T04:04:21.218Z","Amsterdam","AMS","Toronto","YYZ","2024-09-05T09:20:00.000Z","05/09/2024, 11:20:00",4,"KL691"
"2024-09-05T04:04:21.219Z","Amsterdam","AMS","Istanbul","IST","2024-09-05T09:20:00.000Z","05/09/2024, 11:20:00",4,"TK1952"
"2024-09-05T04:04:21.217Z","Amsterdam","AMS","Zagreb","ZAG","2024-09-05T09:20:00.000Z","05/09/2024, 11:20:00",4,"OU451"
"2024-09-05T04:04:21.219Z","Amsterdam","AMS","Genoa (Genova)","GOA","2024-09-05T09:40:00.000Z","05/09/2024, 11:40:00",4,"KL1645"
"2024-09-05T04:04:21.219Z","Amsterdam","AMS","Budapest","BUD","2024-09-05T09:25:00.000Z","05/09/2024, 11:25:00",4,"KL1365"
"2024-09-05T04:04:37.238Z","Amsterdam","AMS","Tel Aviv","TLV","2024-09-05T09:55:00.000Z","05/09/2024, 11:55:00",4,"LY338"
"2024-09-05T04:04:37.243Z","Amsterdam","AMS","Mumbai","BOM","2024-09-05T09:45:00.000Z","05/09/2024, 11:45:00",4,"KL877"
"2024-09-05T04:04:37.241Z","Amsterdam","AMS","Rome","FCO","2024-09-05T09:55:00.000Z","05/09/2024, 11:55:00",4,"AZ107"
"2024-09-05T04:04:37.244Z","Amsterdam","AMS","Milan","LIN","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"AZ121"
"2024-09-05T04:04:37.246Z","Amsterdam","AMS","Bergen","BGO","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"KL1167"
"2024-09-05T04:04:37.247Z","Amsterdam","AMS","Balice","KRK","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"KL1327"
"2024-09-05T04:04:37.243Z","Amsterdam","AMS","Madrid","MAD","2024-09-05T09:00:00.000Z","05/09/2024, 11:00:00",4,"UX1098"
"2024-09-05T04:04:37.246Z","Amsterdam","AMS","Blagnac","TLS","2024-09-05T09:45:00.000Z","05/09/2024, 11:45:00",4,"KL1451"
"2024-09-05T04:04:37.241Z","Amsterdam","AMS","Boston","BOS","2024-09-05T09:40:00.000Z","05/09/2024, 11:40:00",4,"DL243"
"2024-09-05T04:04:37.245Z","Amsterdam","AMS","Vienna","VIE","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"KL1903"
"2024-09-05T04:04:37.242Z","Amsterdam","AMS","Vantaa","HEL","2024-09-05T09:55:00.000Z","05/09/2024, 11:55:00",4,"AY1302"
"2024-09-05T04:04:37.240Z","Amsterdam","AMS","Oslo","OSL","2024-09-05T09:55:00.000Z","05/09/2024, 11:55:00",4,"KL1201"
"2024-09-05T04:04:37.239Z","Amsterdam","AMS","Wrocław","WRO","2024-09-05T09:55:00.000Z","05/09/2024, 11:55:00",4,"KL1337"
"2024-09-05T04:04:37.243Z","Amsterdam","AMS","Luqa","MLA","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"KM395"
"2024-09-05T04:04:37.247Z","Amsterdam","AMS","Aberdeen","ABZ","2024-09-05T09:50:00.000Z","05/09/2024, 11:50:00",4,"KL915"
"2024-09-05T04:04:53.300Z","Amsterdam","AMS","Gdansk","GDN","2024-09-05T10:10:00.000Z","05/09/2024, 12:10:00",4,"KL1305"
"2024-09-05T04:04:53.301Z","Amsterdam","AMS","Poznan","POZ","2024-09-05T10:10:00.000Z","05/09/2024, 12:10:00",4,"KL1333"
"2024-09-05T04:04:53.302Z","Amsterdam","AMS","Palma de Mallorca","PMI","2024-09-05T10:00:00.000Z","05/09/2024, 12:00:00",4,"HV5623"
"2024-09-05T04:04:53.303Z","Amsterdam","AMS","Geneva","GVA","2024-09-05T10:05:00.000Z","05/09/2024, 12:05:00",4,"KL1933"
"2024-09-05T04:04:53.304Z","Amsterdam","AMS","Guangzhou","CAN","2024-09-05T10:00:00.000Z","05/09/2024, 12:00:00",4,"CZ488"
"2024-09-05T04:04:53.304Z","Amsterdam","AMS","Prague","PRG","2024-09-05T10:10:00.000Z","05/09/2024, 12:10:00",4,"KL1355"
"2024-09-05T04:04:53.303Z","Amsterdam","AMS","Pisa","PSA","2024-09-05T10:10:00.000Z","05/09/2024, 12:10:00",4,"HV5423"
"2024-09-05T04:04:53.307Z","Amsterdam","AMS","Washington","IAD","2024-09-05T10:00:00.000Z","05/09/2024, 12:00:00",4,"UA947"
