"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-16T04:07:10.368Z","Amsterdam","AMS","Marrakech","RAK","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"HV5751"
"2024-09-16T04:07:10.369Z","Amsterdam","AMS","Berlin","BER","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"KL1779"
"2024-09-16T04:07:10.368Z","Amsterdam","AMS","Vancouver","YVR","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"KL681"
"2024-09-16T04:07:10.367Z","Amsterdam","AMS","Bergen","BGO","2024-09-16T13:15:00.000Z","16/09/2024, 15:15:00",1,"KL1169"
"2024-09-16T04:07:10.370Z","Amsterdam","AMS","Nantes","NTE","2024-09-16T13:05:00.000Z","16/09/2024, 15:05:00",1,"KL1423"
"2024-09-16T04:07:10.372Z","Amsterdam","AMS","Shanghai","PVG","2024-09-16T13:15:00.000Z","16/09/2024, 15:15:00",1,"KL895"
"2024-09-16T04:07:10.373Z","Amsterdam","AMS","Zurich","ZRH","2024-09-16T13:15:00.000Z","16/09/2024, 15:15:00",1,"KL1923"
"2024-09-16T04:07:10.372Z","Amsterdam","AMS","London","STN","2024-09-16T13:10:00.000Z","16/09/2024, 15:10:00",1,"U27855"
"2024-09-16T04:07:10.373Z","Amsterdam","AMS","London","LHR","2024-09-16T13:05:00.000Z","16/09/2024, 15:05:00",1,"BA435"
"2024-09-16T04:07:10.371Z","Amsterdam","AMS","EuroAirport (Basel)","BSL","2024-09-16T13:10:00.000Z","16/09/2024, 15:10:00",1,"U21226"
"2024-09-16T04:07:10.370Z","Amsterdam","AMS","Sevilla","SVQ","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"HV6729"
"2024-09-16T04:07:26.274Z","Amsterdam","AMS","Munich","MUC","2024-09-16T13:40:00.000Z","16/09/2024, 15:40:00",1,"CL2305"
"2024-09-16T04:07:26.277Z","Amsterdam","AMS","Cork","ORK","2024-09-16T13:50:00.000Z","16/09/2024, 15:50:00",1,"KL1129"
"2024-09-16T04:07:26.276Z","Amsterdam","AMS","London","LHR","2024-09-16T13:55:00.000Z","16/09/2024, 15:55:00",1,"KL1011"
"2024-09-16T04:07:26.275Z","Amsterdam","AMS","Cairo","CAI","2024-09-16T13:40:00.000Z","16/09/2024, 15:40:00",1,"MS758"
"2024-09-16T04:07:26.278Z","Amsterdam","AMS","Riyadh","RUH","2024-09-16T13:45:00.000Z","16/09/2024, 15:45:00",1,"KL425"
"2024-09-16T04:07:26.278Z","Amsterdam","AMS","Paris","CDG","2024-09-16T13:45:00.000Z","16/09/2024, 15:45:00",1,"AF1437"
"2024-09-16T04:07:26.276Z","Amsterdam","AMS","Florence (Firenze)","FLR","2024-09-16T14:00:00.000Z","16/09/2024, 16:00:00",1,"VY6815"
"2024-09-16T04:07:26.278Z","Amsterdam","AMS","Beijing","PEK","2024-09-16T14:00:00.000Z","16/09/2024, 16:00:00",1,"KL897"
"2024-09-16T04:07:26.277Z","Amsterdam","AMS","Ankara","ESB","2024-09-16T13:55:00.000Z","16/09/2024, 15:55:00",1,"XQ773"
"2024-09-16T04:07:26.282Z","Amsterdam","AMS","Seattle","SEA","2024-09-16T13:15:00.000Z","16/09/2024, 15:15:00",1,"DL145"
"2024-09-16T04:07:26.280Z","Amsterdam","AMS","Glasgow","GLA","2024-09-16T13:35:00.000Z","16/09/2024, 15:35:00",1,"KL941"
"2024-09-16T04:07:26.281Z","Amsterdam","AMS","Montreal","YUL","2024-09-16T13:25:00.000Z","16/09/2024, 15:25:00",1,"KL671"
"2024-09-16T04:07:26.281Z","Amsterdam","AMS","Munich","MUC","2024-09-16T13:35:00.000Z","16/09/2024, 15:35:00",1,"KL1855"
"2024-09-16T04:07:26.282Z","Amsterdam","AMS","Minneapolis","MSP","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"DL165"
"2024-09-16T04:07:26.279Z","Amsterdam","AMS","Zakynthos (Zakinthos)","ZTH","2024-09-16T14:00:00.000Z","16/09/2024, 16:00:00",1,"HV5093"
"2024-09-16T04:07:42.311Z","Amsterdam","AMS","Belfast","BHD","2024-09-16T14:15:00.000Z","16/09/2024, 16:15:00",1,"KL949"
"2024-09-16T04:07:42.312Z","Amsterdam","AMS","Keflavik","KEF","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"HV6887"
"2024-09-16T04:07:42.312Z","Amsterdam","AMS","Stavanger","SVG","2024-09-16T14:20:00.000Z","16/09/2024, 16:20:00",1,"KL1179"
"2024-09-16T04:07:42.314Z","Amsterdam","AMS","Doha","DOH","2024-09-16T14:15:00.000Z","16/09/2024, 16:15:00",1,"QR274"
"2024-09-16T04:07:42.313Z","Amsterdam","AMS","Lisbon","LIS","2024-09-16T14:05:00.000Z","16/09/2024, 16:05:00",1,"KL1585"
