"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-16T04:24:16.241Z","Zakynthos (Zakinthos)","ZTH","Amsterdam","AMS","2024-09-16T20:05:00.000Z","16/09/2024, 22:05:00",1,"HV6084"
"2024-09-16T04:24:16.242Z","Manchester","MAN","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"U27852"
"2024-09-16T04:24:16.244Z","Berlin","BER","Amsterdam","AMS","2024-09-16T19:55:00.000Z","16/09/2024, 21:55:00",1,"KL1784"
"2024-09-16T04:24:16.243Z","Vienna","VIE","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"OS377"
"2024-09-16T04:24:16.245Z","Istanbul","SAW","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"PC1255"
"2024-09-16T04:24:16.245Z","Manchester","MAN","Amsterdam","AMS","2024-09-16T19:50:00.000Z","16/09/2024, 21:50:00",1,"KL1038"
"2024-09-16T04:24:16.243Z","Rome","FCO","Amsterdam","AMS","2024-09-16T20:00:00.000Z","16/09/2024, 22:00:00",1,"KL1608"
"2024-09-16T04:24:16.246Z","Budapest","BUD","Amsterdam","AMS","2024-09-16T19:50:00.000Z","16/09/2024, 21:50:00",1,"KL1370"
"2024-09-16T04:24:16.244Z","Zurich","ZRH","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"LX736"
"2024-09-16T04:24:16.248Z","Barcelona","BCN","Amsterdam","AMS","2024-09-16T19:55:00.000Z","16/09/2024, 21:55:00",1,"KL1520"
"2024-09-16T04:24:16.245Z","Frankfurt am Main","FRA","Amsterdam","AMS","2024-09-16T20:15:00.000Z","16/09/2024, 22:15:00",1,"LH1002"
